time,id,latitude,longitude,counter
6,A481690,-22.91651,-43.194397,5
3,B115810,-22.8513,-43.3551,4
14,A412260,-22.971489,-43.223667,5
1,A020,-22.976391,-43.194595,6
1,B116320,-22.8711,-43.3465,6
33,A412260,-22.972937,-43.225082,6
1,A414440,-22.8967,-43.187092,6
1,A481830,-22.924105,-43.240696,6
0,B115740,-22.9039,-43.1864,6
9,A480500,-22.918089,-43.216457,6
1,A500080,-22.914295,-43.19981,6
1,A481690,-22.916466,-43.195332,6
3,B115810,-22.8545,-43.3517,5
19,A412260,-22.973772,-43.225994,7
12,A480500,-22.918591,-43.218132,7
16,B115810,-22.8547,-43.3506,6
7,A481690,-22.912983,-43.195568,7
1,A020,-22.977747,-43.191647,7
0,A414440,-22.897074,-43.18729,7
0,B115740,-22.9036,-43.1862,7
1,A481830,-22.925585,-43.244877,7
6,A500080,-22.914301,-43.196918,7
27,A481690,-22.911749,-43.195305,8
2,A481830,-22.927191,-43.244492,8
6,A500080,-22.914181,-43.196335,8
3,A480500,-22.919874,-43.220871,8
8,A020,-22.977869,-43.190887,8
16,A412260,-22.974764,-43.226643,8
1,A414440,-22.899637,-43.187485,8
1,B115740,-22.9034,-43.1859,8
0,B116320,-22.8642,-43.3604,7
1,B115810,-22.8521,-43.3496,7
25,A020,-22.978012,-43.190247,9
7,A412260,-22.975399,-43.227554,9
0,A481690,-22.909586,-43.196411,9
0,B115810,-22.8521,-43.3496,8
1,A414440,-22.90033,-43.186832,9
0,A481830,-22.928247,-43.243896,9
1,B115740,-22.9033,-43.1858,9
0,B116320,-22.864,-43.3614,8
6,A500080,-22.912817,-43.190632,9
3,A480500,-22.920799,-43.224091,9
17,A020,-22.977434,-43.188503,10
8,A414440,-22.900354,-43.186768,10
34,A412260,-22.976189,-43.228809,10
0,A481690,-22.90893,-43.196522,10
1,A481830,-22.930574,-43.24411,10
1,B115740,-22.9034,-43.1857,10
0,B116320,-22.8619,-43.3654,9
3,A480500,-22.921675,-43.228401,10
2,A500080,-22.912056,-43.188694,10
0,B115810,-22.8501,-43.35,9
33,A480500,-22.922405,-43.230019,11
3,A481830,-22.931385,-43.245712,11
0,A500080,-22.912043,-43.188053,11
15,B115810,-22.8467,-43.3495,10
2,A481690,-22.908091,-43.196106,11
3,A020,-22.975824,-43.187611,11
7,A412260,-22.976641,-43.229752,11
1,A414440,-22.900961,-43.186115,11
1,B115740,-22.9031,-43.1855,11
0,B116320,-22.8626,-43.3664,10
3,A480500,-22.922401,-43.230183,12
30,A412260,-22.976645,-43.229786,12
1,A414440,-22.901001,-43.186134,12
1,B115740,-22.9029,-43.1855,12
0,B116320,-22.8618,-43.3681,11
2,A481690,-22.907904,-43.195618,12
4,A500080,-22.911283,-43.186695,12
15,A481830,-22.931965,-43.247017,12
1,B115810,-22.8425,-43.3492,11
4,A020,-22.97344,-43.186012,12
7,A412260,-22.977827,-43.23304,13
22,A481830,-22.931986,-43.247078,13
8,A020,-22.970638,-43.183056,13
6,A414440,-22.901363,-43.185677,13
0,B115810,-22.841,-43.3495,12
1,B115740,-22.903,-43.1848,13
0,B116320,-22.8611,-43.3694,12
2,A481690,-22.907438,-43.194183,13
4,A500080,-22.910416,-43.184914,13
8,A480500,-22.926592,-43.235401,13
19,A412260,-22.981384,-43.236279,14
1,A414440,-22.901497,-43.185432,14
14,B116320,-22.8608,-43.3702,13
17,B115810,-22.8381,-43.3496,13
4,B115740,-22.9031,-43.1847,14
40,A480500,-22.929564,-43.237213,14
1,B115810,-22.8337,-43.3467,14
1,A500080,-22.910337,-43.183956,14
7,A481690,-22.905861,-43.192944,14
0,B116320,-22.8573,-43.3703,14
4,A020,-22.96471,-43.172337,14
3,A481830,-22.931902,-43.247234,14
